Ticker,Company Name,Price (Q2),Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating,Pos-Neg,Positive Q2,Neg Q2,zacks rank,value score,growth score,momentum score,overall score,industry rank,Price(Q3),Change%
ZM,"Zoom Video Communications
",261.18,255,408,525,24,-0.023661842,0.562141052,1.010107972,10,16,22,6,1,F,A,C,D,1.4,470.11,0.7999
COOP,Mr Cooper Group,13.4,14,19.83,26,7,0.044776119,0.479850746,0.940298507,10,2,2,0,1,A,B,A,A,2.7,22.32,0.6657
FDX,FedEx,165.14,100,218.23,300,23,-0.394453191,0.321484801,0.816640426,10,1,1,0,1,C,A,A,A,41.8,251.52,0.5231
BLDR,"Builders Firstsource
",23.29,27,33.38,37,8,0.159295835,0.433233147,0.588664663,10,0,0,0,1,B,A,C,A,13.9,32.62,0.4006
RH,RH,285.03,380,415.11,450,11,0.333192997,0.456373013,0.578781181,10,3,4,1,1,D,A,C,C,12,382.62,0.3424
CRM,Salesforce,191.31,160,264.11,300,30,-0.163661074,0.380534211,0.568135487,10,-8,2,10,1,F,D,D,F,3.1,251.32,0.3137
HZNP,"Horizon Therapeutics
",60.05,90,103,123,10,0.498751041,0.715237302,1.048293089,10,0,0,0,1,D,D,C,D,1.3,77.68,0.2936
DE,Deere,175.49,160,218.69,247,16,-0.088267138,0.246167873,0.407487606,10,1,1,0,1,F,C,D,D,31.4,221.63,0.2629
OMF,"OneMain Holdings
",25.73,29,38,43,11,0.127089001,0.476875243,0.671200933,10,-2,4,6,1,B,F,C,D,2.7,31.25,0.2145
CROX,Crocs,36.32,40,45.29,53,9,0.101321586,0.246971366,0.459251101,10,0,0,0,1,F,A,C,B,1.3,42.73,0.1765
KBH,KB Home,33.09,29,38.5,44,10,-0.123602297,0.163493503,0.32970686,10,0,0,0,1,C,B,F,C,14.8,38.39,0.1602
BBY,Best Buy Co,97.36,97,122.17,135,19,-0.003697617,0.254827445,0.386606409,10,-1,0,1,1,B,A,D,A,8.4,111.29,0.1431
QGEN,Qiagen,48.56,46.32,56.64,71.26,15,-0.046128501,0.166392092,0.467462932,10,0,,,1,D,C,D,D,1.3,52.26,0.0762
WCC,"Wesco International
",43.76,35,52,65,10,-0.200182815,0.188299817,0.485374771,10,-2,4,6,1,B,D,B,B,31.4,44.02,0.0059
YETI,Yeti Holdings,46.88,40,52.45,65,11,-0.146757679,0.118813993,0.386518771,10,2,2,0,1,F,B,A,C,8.4,45.32,-0.0333
MBUU,Malibu Boats,59.07,55,66,77,7,-0.068901304,0.117318436,0.303538175,10,10,10,0,1,D,C,B,C,8.4,49.56,-0.161
RRR,"Red Rock Resorts
",11.14,14,18.29,21,7,0.256732496,0.641831239,0.885098743,10,0,0,0,2,C,F,D,F,2.5,17.1,0.535
GNRC,"Generac Holdings
",135.54,150,193.56,220,12,0.106684374,0.428065516,0.623137081,10,-1,0,1,2,D,B,A,B,31.4,193.64,0.4287
TPX,Tempur Sealy,75.11,82,109.38,130,11,0.091732126,0.456264146,0.730794834,10,0,0,0,2,B,A,C,A,12,89.19,0.1875
ESTC,Elastic,91.84,100,127.54,145,13,0.088850174,0.388719512,0.578832753,10,-6,16,22,2,F,A,F,D,1.5,107.89,0.1748
DHI,DR Horton,64.8,65,74.31,85,15,0.00308642,0.146759259,0.311728395,10,3,3,0,2,C,A,D,B,14.8,75.63,0.1671
ETSY,Etsy,104.23,68,149.47,170,17,-0.347596661,0.434040104,0.631008347,10,-9,0,9,2,D,A,D,B,1.3,121.63,0.1669
LOW,Lowe's,148.54,156,183.58,205,20,0.050222162,0.235896055,0.380099636,10,2,2,0,2,C,A,A,A,13.9,165.86,0.1166
VICI,VICI Properties,22.26,23,27.61,33,10,0.033243486,0.24034142,0.482479784,10,0,1,1,2,D,D,D,F,1.1,23.37,0.0499
HAIN,Hain Celestial,32.78,30,35.29,40,7,-0.08480781,0.07657108,0.220256254,10,4,5,1,2,D,A,B,B,2.1,34.3,0.0464
AGNC,AGNC Investment,13.605,15,15.38,17,8,0.102535832,0.13046674,0.24954061,10,0,1,1,2,B,D,B,C,1.2,13.91,0.0224
