Ticker,Company Name,Current Price,Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating,Avg PT,AvgPT/Curr%
A,Agilent,99.42,100,103.14,110,8,0.58,3.74,10.64,7,102.38,2.98
AA,Alcoa,14.05,11,13.38,17,8,-21.71,-4.77,21,9,13.5,-3.91
AAP,"Advance Auto Parts
",157.3,118,173.4,190,14,-24.98,10.24,20.79,7,173.62,10.38
AAPL,Apple,115.3,66.6,119.51,150,35,-42.24,3.65,30.1,10,116.14,0.73
ABBV,AbbVie,90.49,105,111.43,127,9,16.03,23.14,40.35,10,109.81,21.35
ABC,"AmerisourceBergen
",94.6,88,114,127,10,-6.98,20.51,34.25,9,110.81,17.14
ABT,Abbott Labs,105.6,94,117.55,136,14,-10.98,11.32,28.79,9,113.88,7.84
ACN,Accenture,238.8,182,224.4,256,16,-23.79,-6.03,7.2,8,229.74,-3.79
ADBE,Adobe,485.9,430,525.56,570,9,-11.5,8.16,17.31,9,462.36,-4.84
ADNT,Adient,18.64,13,20.57,26,8,-30.26,10.35,39.48,2,21.78,16.85
ADSK,Autodesk,229.8,170,263.87,300,17,-26.02,14.83,30.55,4,262.86,14.39
ADT,Adt,10.8,11,14.38,17,8,1.85,33.15,57.41,8,13.67,26.57
AGCO,Agco,75.66,58,75,91,13,-23.34,-0.87,20.27,6,74.13,-2.02
AGIO,Agios Pharma,38.43,66,72,80,9,71.74,87.35,108.17,6,-,0
AGNC,AGNC Investment,14.57,15,15.38,17,8,2.95,5.56,16.68,10,14.92,2.4
AIG,"American International Group
",29.4,32,37.17,40,8,8.84,26.43,36.05,5,37.21,26.56
AJG,"Arthur J Gallagher & Co
",102.6,101,115.6,130,10,-1.56,12.67,26.71,4,115,12.09
AKAM,Akamai,108.1,105,122.88,150,16,-2.87,13.67,38.76,4,124.65,15.31
ALB,Albemarle,98.17,60,84.27,115,11,-38.88,-14.16,17.14,6,79.71,-18.8
ALGN,Align Tech,323.4,280,326.22,350,9,-13.42,0.87,8.23,8,323.43,0.01
ALLY,Ally Financial,24.41,23.5,28.85,34,10,-3.73,18.19,39.29,5,27.78,13.81
ALNY,Alnylam Pharma,131,90,171.58,225,12,-31.3,30.98,71.76,7,166.17,26.85
ALXN,"Alexion Pharmaceuticals
",108.7,114,147.89,175,11,4.88,36.05,60.99,9,141.32,30.01
AMAT,"Applied Materials
",56.46,67,76.22,85,19,18.67,35,50.55,9,76.24,35.03
AMGN,Amgen,246.7,215,266.14,300,16,-12.85,7.88,21.61,8,262.76,6.51
AMZN,Amazon,3102,3300,3725,4200,37,6.38,20.08,35.4,10,3661.68,18.04
APD,"Air Products and Chemicals
",303.9,225,317.92,363,15,-25.96,4.61,19.45,10,300.41,-1.15
ARMK,"ARAMARK Holdings
",28.69,24,28,36,8,-16.35,-2.41,25.48,1,29.23,1.88
ATVI,"Activision Blizzard
",79.12,65,94.13,106,24,-17.85,18.97,33.97,7,95.03,20.11
AVB,AvalonBay,154.5,140,171.3,205,12,-9.39,10.87,32.69,9,167.19,8.21
AVGO,Broadcom,362.2,360,405.48,450,25,-0.61,11.95,24.24,8,397.86,9.85
AXP,"American Express
",107.2,80,101.53,127,17,-25.37,-5.29,18.47,6,104.72,-2.31
AXTA,"Axalta Coating Systems
",24.19,23,26.44,30,9,-4.92,9.3,24.02,3,26.61,10
BA,Boeing,165.3,149,186.24,270,18,-9.86,12.67,63.34,5,174.91,5.81
BAC,Bank of America,25.75,23,26.29,31,12,-10.68,2.1,20.39,7,28.61,11.11
BAX,"Baxter International
",83.19,90,96.86,100,10,8.19,16.43,20.21,7,96.25,15.7
BBY,Best Buy Co,107.7,97,122.17,135,19,-9.94,13.44,25.35,10,118.02,9.58
BC,Brunswick,62.97,68,78.63,88,10,7.99,24.87,39.75,10,79.5,26.25
BDX,"Becton Dickinson
",235.9,270,283.67,300,8,14.46,20.25,27.17,8,284.31,20.52
BERY,"Berry Global Group
",52.55,55,60.5,65,11,4.66,15.13,23.69,7,61,16.08
BIIB,Biogen,278.2,228,314.43,392,28,-18.04,13.02,40.91,6,305.39,9.77
BK,BNY Mellon,35.96,40,43.78,51,10,11.23,21.75,41.82,2,44.38,23.41
BKI,Black Knight,83.57,80,89.33,100,9,-4.27,6.89,19.66,7,88.73,6.17
BKNG,"Booking Holdings
",1784,1500,1928,2150,20,-15.92,8.07,20.52,9,1905.38,6.8
BKR,"Baker Hughes Company
",14.63,18,20.67,26,13,23.03,41.29,77.72,6,20.74,41.76
BLK,Blackrock,547.3,566,634.2,685,11,3.42,15.88,25.16,9,646.73,18.17
BLL,Ball,83.28,70,78.38,86,9,-15.95,-5.88,3.27,6,80.23,-3.66
BLUE,Bluebird Bio,54.08,68,102.55,140,13,25.74,89.63,158.88,2,-,0
BMRN,"BioMarin Pharmaceutical
",75.34,77,111.13,188,24,2.2,47.5,149.54,8,111.14,47.52
BMY,Bristol Myers,59.7,64,69.4,80,8,7.2,16.25,34,7,73.25,22.7
BRKR,Bruker,39.8,44,48.88,54,9,10.55,22.81,35.68,5,47.92,20.4
BRX,"Brixmor Property
",12.56,11,13.56,18,9,-12.42,7.96,43.31,6,13.75,9.47
BSX,"Boston Scientific
",41.12,43,46.07,50,16,4.57,12.04,21.6,7,46.32,12.65
BURL,"Burlington Stores
",206.4,200,234.78,255,11,-3.1,13.75,23.55,2,229.9,11.39
BWA,BorgWarner,42.82,23,44.08,53,12,-46.29,2.94,23.77,4,45.87,7.12
BXP,"Boston Properties
",85.91,92,104.6,115,10,7.09,21.76,33.86,9,105.71,23.05
BYND,Beyond Meat,143.1,72,126.71,180,16,-49.69,-11.45,25.79,5,123.74,-13.53
C,Citigroup,48.15,58,68.44,87,14,20.46,42.14,80.69,4,69.21,43.74
