Ticker,Company Name,Current Price,Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating
AAPL,Apple,115.5,66.6,120.15,150,35,-42.30%,4.00%,29.90%,10
MSFT,Microsoft,208.7,195,230.14,260,29,-6.60%,10.30%,24.60%,8
AMZN,Amazon,3156,3300,3725,4200,37,4.60%,18.00%,33.10%,10
FB,Facebook,272.4,195,294.31,335,36,-28.40%,8.00%,23.00%,10
GOOGL,"Alphabet Class A
",1535,1500,1776,1990,33,-2.30%,15.70%,29.60%,7
JNJ,"Johnson & Johnson
",148.8,158,166.86,175,7,6.20%,12.10%,17.60%,5
V,Visa,205.3,203,222.37,250,19,-1.10%,8.30%,21.80%,8
JPM,"JPMorgan Chase & Co.
",99.28,80,110.58,122,15,-19.40%,11.40%,22.90%,2
TSLA,Tesla,449.7,19,299.27,566,30,-95.80%,-33.50%,25.90%,4
NVDA,Nvidia,519.6,260,557.17,700,29,-50.00%,7.20%,34.70%,10
HD,Home Depot,285.5,276,309.9,332,21,-3.30%,8.50%,16.30%,10
MA,Mastercard,339.1,305,357.44,415,28,-10.10%,5.40%,22.40%,10
UNH,UnitedHealth,307.2,310,348.25,384,16,0.90%,13.40%,25.00%,7
VZ,Verizon,60.6,57,62.7,70,12,-5.90%,3.50%,15.50%,10
DIS,Walt Disney,131.2,97,132.39,164,21,-26.10%,0.90%,25.00%,10
MRK,Merck & Company,84.21,84,95.63,105,9,-0.20%,13.60%,24.70%,6
T,AT&T,29.12,25,33.78,38,11,-14.10%,16.00%,30.50%,10
PFE,Pfizer,36.96,35,43.13,55,10,-5.30%,16.70%,48.80%,9
CMCSA,Comcast,46.46,40,47.92,53,13,-13.90%,3.10%,14.10%,8
KO,Coca-Cola,51.05,48,54.7,60,10,-6.00%,7.10%,17.50%,9
PEP,PepsiCo,135.6,130,144.64,155,11,-4.10%,6.70%,14.30%,10
TMO,Thermo Fisher,435.1,432,463.92,485,17,-0.70%,6.60%,11.50%,9
CSCO,Cisco Systems,40.6,45,50.5,55,18,10.80%,24.40%,35.50%,9
XOM,Exxon Mobil,36.27,34,45.11,55,11,-6.30%,24.40%,51.60%,4
ACN,Accenture,240.2,182,224.4,256,16,-24.20%,-6.60%,6.60%,8
COST,Costco,343.9,302,364.61,410,23,-12.20%,6.00%,19.20%,8
CVX,Chevron,76.35,95,106.25,113,8,24.40%,39.20%,48.00%,5
MDT,Medtronic,107.5,110,116.35,130,19,2.30%,8.20%,20.90%,10
BMY,Bristol Myers,59.53,64,69.4,80,8,7.50%,16.60%,34.40%,7
UNP,Union Pacific,202.3,135,191.39,220,18,-33.30%,-5.40%,8.70%,9
DHR,Danaher,208.6,195,215,233,10,-6.50%,3.10%,11.70%,7
QCOM,Qualcomm,116.5,98,120.06,150,21,-15.90%,3.10%,28.80%,10
PM,Philip Morris,81.4,75,88.88,98,8,-7.90%,9.20%,20.40%,8
LOW,Lowe's,169,156,183.58,205,20,-7.70%,8.60%,21.30%,10
ORCL,Oracle,60.94,41,60.46,70,23,-32.70%,-0.80%,14.90%,8
UPS,United Parcel,161.5,66,140.54,176,15,-59.10%,-13.00%,9.00%,6
AMT,American Tower,263.7,275,291.86,315,8,4.30%,10.70%,19.50%,10
IBM,"International Business Machines
",122.4,115,139.36,155,12,-6.00%,13.90%,26.60%,6
SBUX,Starbucks,87.71,78,84.63,94,18,-11.10%,-3.50%,7.20%,7
MMM,3M Company,166.5,138,165,180,8,-17.10%,-0.90%,8.10%,10
WFC,Wells Fargo,24.88,23,30.43,40,19,-7.60%,22.30%,60.80%,3
